Fasta,Short_names,Isolate,Partition,Region,year
S43_EKDN220047230-1A_HMTG3DSX5,S43,22_EcijaSecSah_L1,Train,Sevilla,22
S44_EKDN230001048-1A_HMTHFDSX5,S44,22_EcijaSecBon_L1,Train,Sevilla,22
S45_EKDN220047232-1A_HMTG3DSX5,S45,22_EcijaSecSeb_L1,Train,Sevilla,22
S46_EKDN220047233-1A_HMTG3DSX5,S46,22_EcijaSecSim_L2,Train,Sevilla,22
S47_EKDN220047234-1A_HMTG3DSX5,S47,22_EcijaSecFer_L1,Train,Sevilla,22
S48_EKDN230001049-1A_HMTF5DSX5,S48,22_EcijaSecEuro_L1,Train,Sevilla,22
S49_EKDN220047236-1A_HMTG3DSX5,S49,22_EcijaSec3911_L1,Train,Sevilla,22
S50_EKDN220047237-1A_HMTG3DSX5,S50,22_EcijaSecJos_L1,Train,Sevilla,22
S51_EKDN220047238-1A_HMTG3DSX5,S51,22_EcijaRegKiko_L1,Train,Sevilla,22
S52_EKDN220047239-1A_HMTG3DSX5,S52,22_EcijaRegBon_L1,Train,Sevilla,22
S53_EKDN220047240-1A_HMTG3DSX5,S53,22_EcijaRegTej_L1,Train,Sevilla,22
S54_EKDN220047241-1A_HMTG3DSX5,S54,22_EcijaRegRum_L1,Train,Sevilla,22
S55_EKDN220047242-1A_HMTG3DSX5,S55,22_EcijaRegAmi_L1,Train,Sevilla,22
S56_EKDN230001050-1A_HMTHFDSX5,S56,22_CorVal_L1,Train,Córdoba,22
S57_EKDN220047244-1A_HMTG3DSX5,S57,22_CorKiko_L1,Train,Córdoba,22
S58_EKDN220047245-1A_HMTG3DSX5,S58,22_Cor3927_L1,Train,Córdoba,22
S59_EKDN220047246-1A_HMTG3DSX5,S59,22_CorFer_L1,Train,Córdoba,22
S60_EKDN220047247-1A_HMTG3DSX5,S60,22_CorScul_L1,Train,Córdoba,22
S61_EKDN220047248-1A_HMTG3DSX5,S61,22_CorAmi_L1,Train,Córdoba,22
S62_EKDN220047249-1A_HMTG3DSX5,S62,22_CorMax_L1,Train,Córdoba,22
S63_EKDN220047250-1A_HMTG3DSX5,S63,22_CorRic_L1,Train,Córdoba,22
S64_EKDN220047251-1A_HMTG3DSX5,S64,22_CorFel_L1,Train,Córdoba,22
S65_EKDN220047252-1A_HMTG3DSX5,S65,22_CorOrt_L1,Train,Córdoba,22
S66_EKDN220047253-1A_HMVJWDSX5,S66,22_CorAth_L1,Train,Córdoba,22
S67_EKDN220047254-1A_HMVJWDSX5,S67,22_Cor3911_L1,Train,Córdoba,22
S68_EKDN220047255-1A_HMVJWDSX5,S68,22_Cor3806_L1,Train,Córdoba,22
S69_EKDN220047256-1A_HMVJWDSX5,S69,22_CorIca200_L1,Train,Córdoba,22
S70_EKDN220047257-1A_HMNKVDSX5,S70,22_CorSim_L1,Train,Córdoba,22
S71_EKDN220047258-1A_HMVJWDSX5,S71,22_CorCale_L1,Train,Córdoba,22
S72_EKDN220047259-1A_HMVJWDSX5,S72,22_CorCris_L1,Train,Córdoba,22
S73_EKDN220047260-1A_HMVJWDSX5,S73,22_CorCar_L1,Train,Córdoba,22
S74_EKDN220047261-1A_HMVJWDSX5,S74,22_JerezRic_L1,Train,Cádiz,22
S75_EKDN220047262-1A_HMTG3DSX5,S75,22_JerezEuro_L1,Train,Cádiz,22
S76_EKDN220047263-1A_HMVJWDSX5,S76,22_JerezFel_L1,Train,Cádiz,22
S77_EKDN220047264-1A_HMVJWDSX5,S77,22_JerezJos_L1,Train,Cádiz,22
S78_EKDN220047265-1A_HMVJWDSX5,S78,22_JerezNor_L1,Train,Cádiz,22
S79_EKDN220047266-1A_HMVJWDSX5,S79,22_JerezFer_L1,Train,Cádiz,22
S80_EKDN220047267-1A_HMVJWDSX5,S80,22_Jerez3911_L1,Train,Cádiz,22
S81_EKDN220047268-1A_HMVJWDSX5,S81,22_JerezFue_L1,Train,Cádiz,22
S82_EKDN220047269-1A_HMVJWDSX5,S82,22_JerezVal_L1,Train,Cádiz,22
S83_EKDN230001051-1A_HMTF5DSX5,S83,22_JerezSim_L1,Train,Cádiz,22
S84_EKDN220047271-1A_HMVJWDSX5,S84,22_JerezRum_L1,Train,Cádiz,22
S85_EKDN220047272-1A_HMVJWDSX5,S85,22_JerezMax_L1,Train,Cádiz,22
S86_EKDN220047273-1A_HMVJWDSX5,S86,22_Jerez3927_L1,Train,Cádiz,22
S87_EKDN220047274-1A_HMVJWDSX5,S87,22_ConilScul_L1,Train,Cádiz,22
S88_EKDN220047275-1A_HMVJWDSX5,S88,22_ConilAmi_L1,Train,Cádiz,22
S89_EKDN230001052-1A_HMTHFDSX5,S89,22_Conil3758_L1,Train,Cádiz,22
S90_EKDN220047277-1A_HMVJWDSX5,S90,22_Conil3806_L1,Train,Cádiz,22
S91_EKDN230001053-1A_HMTF5DSX5,S91,22_ConilOrt_L1,Train,Cádiz,22
S92_EKDN230001054-1A_HMTF5DSX5,S92,22_Conil3911_L1,Train,Cádiz,22
S93_EKDN220047280-1A_HMVJWDSX5,S93,22_ConilMax_L1,Train,Cádiz,22
S94_EKDN230001055-1A_HMTF5DSX5,S94,22_ConilCris_L1,Train,Cádiz,22
S95_EKDN230001056-1A_HMTF5DSX5,S95,22_ConilVit_L1,Train,Cádiz,22
S96_EKDN220047283-1A_HMVJWDSX5,S96,22_ConilFel_L1,Train,Cádiz,22
S97_EKDN220047284-1A_HMVJWDSX5,S97,22_ConilFer_L1,Train,Cádiz,22
S98_EKDN220047285-1A_HMVJWDSX5,S98,22_ViveroRic_L1,Train,Cádiz,22
S99_EKDN220047286-1A_HMVJWDSX5,S99,22_MontanaRic_L1,Train,Cádiz,22
S100_EKDN230001057-1A_HMTF5DSX5,S100,22_MonteraRic_L1,Train,Sevilla,22
S101_EKDN220047288-1A_HMVJWDSX5,S101,JA90 (do not use for PLE analysis),Train,NA,NA
S1_EKDN230042759-1A_HFJJHDSX7,S1,23_CorEuro_L1,Test,NA,NA
S2_EKDN230042760-1A_HFJJHDSX7,S2,23_CorJos_L1,Test,NA,NA
S3_EKDN230042761-1A_HFKHCDSX7,S3,23_CorSeb_L1,Test,NA,NA
S4_EKDN230042762-1A_HFKHCDSX7,S4,23_Cor4125_L1,Test,NA,NA
S5_EKDN230042763-1A_HFKHCDSX7,S5,23_CorJul_L1,Test,NA,NA
S6_EKDN230042764-1A_HFKHCDSX7,S6,23_Cor4073_L1,Test,NA,NA
S7_EKDN230042765-1A_HFKHCDSX7,S7,23_CorAmi_L1,Test,NA,NA
S8_EKDN230042766-1A_HFKHCDSX7,S8,23_CorVal_L1,Test,NA,NA
S9_EKDN230042767-1A_HFKHCDSX7,S9,23_CorAth_L1,Test,NA,NA
S10_EKDN230042768-1A_HFKHCDSX7,S10,23_CorMax_L1,Test,NA,NA
S11_EKDN230042769-1A_HFKHCDSX7,S11,23_Cor4025_L1,Test,NA,NA
S12_EKDN230042770-1A_HFKHCDSX7,S12,23_Cor3922_L1,Test,NA,NA
S13_EKDN230042771-1A_HFKHCDSX7,S13,23_CorCale_L1,Test,NA,NA
S14_EKDN230042772-1A_HFKHCDSX7,S14,23_Cor3911_L1,Test,NA,NA
S15_EKDN230042773-1A_HFKHCDSX7,S15,23_CorVit_L1,Test,NA,NA
S16_EKDN230042774-1A_HFKHCDSX7,S16,23_CorCris_L1,Test,NA,NA
S17_EKDN230042775-1A_HFKHCDSX7,S17,23_CorNor_L1,Test,NA,NA
S18_EKDN230042776-1A_HFKHCDSX7,S18,23_Cor4061_L1,Test,NA,NA
S19_EKDN230042777-1A_HFKHCDSX7,S19,23_CorRic_L1,Test,NA,NA
